user_id,product_id,interaction_type,interaction_score,product_category,product_description,review_text,semantic_vector,latent_user_feature,latent_item_feature,target_recommendation_score
U190,P072,purchase,0.886,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.578, 0.033, 0.886, 0.026, 0.264]",-0.639,-0.612,0.507
U150,P005,add_to_cart,0.479,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.169, 0.98, 0.778, 0.864, 0.481]",0.225,0.23,0.633
U049,P021,view,0.301,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.186, 0.555, 0.382, 0.76, 0.745]",-0.628,0.738,0.358
U132,P025,purchase,0.954,Beauty,Premium beauty product enhancing personal care.,This product is excellent and exceeded expectations.,"[0.553, 0.966, 0.589, 0.846, 0.779]",-0.933,-0.94,0.434
U122,P023,add_to_cart,0.499,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.025, 0.383, 0.202, 0.33, 0.77]",0.201,-0.449,0.467
U072,P075,review,0.439,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.936, 0.571, 0.628, 0.505, 0.4]",-0.793,-0.987,-0.133
U070,P052,add_to_cart,0.638,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.939, 0.638, 0.094, 0.393, 0.726]",-0.038,-0.703,0.412
U192,P046,add_to_cart,0.597,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.951, 0.203, 0.944, 0.196, 0.686]",0.702,-0.015,0.827
U060,P056,view,0.162,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.808, 0.121, 0.186, 0.107, 0.167]",0.764,-0.263,0.333
U145,P029,add_to_cart,0.416,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.915, 0.083, 0.613, 0.64, 0.294]",0.902,-0.007,0.68
U004,P045,add_to_cart,0.509,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.43, 0.368, 0.387, 0.127, 0.131]",0.175,-0.512,0.433
U031,P036,add_to_cart,0.6,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.626, 0.599, 0.173, 0.491, 0.895]",-0.498,-0.646,0.296
U072,P031,add_to_cart,0.436,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.361, 0.735, 0.065, 0.843, 0.01]",0.083,0.165,0.523
U129,P093,view,0.234,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.595, 0.434, 0.328, 0.41, 0.985]",0.144,0.253,0.345
U141,P021,add_to_cart,0.523,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.212, 0.928, 0.236, 0.331, 0.479]",0.285,-0.425,0.525
U128,P067,add_to_cart,0.41,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.613, 0.219, 0.751, 0.972, 0.814]",-0.812,0.317,0.277
U139,P062,purchase,0.987,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.536, 0.398, 0.268, 0.535, 0.784]",0.014,0.69,1.167
U086,P034,view,0.103,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.7, 0.432, 0.075, 0.895, 0.658]",-0.046,0.794,0.332
U002,P071,view,0.117,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.016, 0.429, 0.005, 0.647, 0.022]",-0.628,0.554,0.145
U167,P003,review,0.536,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.773, 0.198, 0.42, 0.627, 0.927]",0.467,0.151,0.749
U057,P082,view,0.375,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.87, 0.422, 0.126, 0.974, 0.582]",-0.042,0.795,0.594
U120,P057,purchase,0.896,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.984, 0.115, 0.849, 0.747, 0.85]",0.284,0.51,1.176
U022,P076,purchase,0.773,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.227, 0.331, 0.793, 0.398, 0.752]",-0.781,-0.185,0.474
U024,P092,add_to_cart,0.461,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.432, 0.713, 0.809, 0.648, 0.432]",-0.711,-0.798,-0.033
U039,P074,purchase,0.949,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.238, 0.735, 0.95, 0.538, 0.923]",0.004,0.907,1.183
U141,P064,purchase,0.771,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.889, 0.896, 0.408, 0.622, 0.339]",0.283,0.905,1.148
U009,P023,add_to_cart,0.435,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.727, 0.155, 0.008, 0.497, 0.564]",-0.124,-0.61,0.181
U091,P081,add_to_cart,0.485,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.738, 0.591, 0.07, 0.643, 0.382]",0.094,0.029,0.563
U196,P086,add_to_cart,0.684,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.224, 0.385, 0.662, 0.849, 0.852]",0.916,0.996,1.303
U099,P022,add_to_cart,0.416,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.53, 0.165, 0.223, 0.029, 0.5]",0.801,0.269,0.695
U025,P016,add_to_cart,0.634,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.356, 0.328, 0.672, 0.631, 0.716]",-0.176,-0.443,0.44
U101,P036,review,0.324,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.289, 0.765, 0.647, 0.922, 0.855]",-0.122,0.34,0.344
U167,P012,purchase,0.865,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.228, 0.7, 0.174, 0.395, 0.749]",0.252,0.072,0.934
U081,P002,view,0.144,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.829, 0.22, 0.659, 0.217, 0.851]",-0.977,-0.481,-0.317
U034,P029,review,0.802,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.871, 0.791, 0.313, 0.15, 0.96]",0.091,0.681,0.988
U064,P003,add_to_cart,0.438,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.82, 0.238, 0.843, 0.142, 0.592]",0.799,0.152,0.691
U105,P055,add_to_cart,0.488,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.287, 0.023, 0.106, 0.66, 0.788]",-0.427,0.397,0.475
U196,P029,add_to_cart,0.515,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.287, 0.4, 0.02, 0.669, 0.534]",0.418,-0.384,0.556
U141,P042,view,0.193,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.286, 0.836, 0.785, 0.742, 0.269]",-0.751,-0.793,-0.236
U001,P010,view,0.282,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.904, 0.484, 0.492, 0.358, 0.949]",0.29,-0.413,0.219
U161,P070,view,0.325,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.282, 0.793, 0.801, 0.554, 0.597]",-0.205,0.886,0.547
U058,P021,add_to_cart,0.437,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.019, 0.468, 0.138, 0.286, 0.342]",-0.421,0.865,0.586
U031,P007,view,0.212,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.434, 0.925, 0.084, 0.667, 0.371]",0.163,-0.275,0.19
U027,P097,view,0.363,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.265, 0.233, 0.906, 0.97, 0.351]",0.447,-0.793,0.235
U066,P018,view,0.239,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.352, 0.554, 0.072, 0.217, 0.547]",-0.264,-0.965,-0.146
U017,P011,review,0.756,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.295, 0.444, 0.762, 0.185, 0.538]",0.509,-0.479,0.753
U115,P097,purchase,0.738,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.622, 0.64, 0.525, 0.025, 0.731]",-0.453,0.371,0.683
U180,P029,add_to_cart,0.459,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.409, 0.758, 0.915, 0.758, 0.92]",0.528,-0.958,0.324
U063,P041,view,0.333,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.046, 0.784, 0.736, 0.018, 0.997]",0.873,-0.439,0.469
U144,P015,purchase,0.99,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.481, 0.489, 0.836, 0.18, 0.659]",0.292,-0.101,1.096
U137,P066,purchase,0.783,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.468, 0.089, 0.761, 0.788, 0.194]",-0.422,-0.533,0.482
U119,P089,review,0.791,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.12, 0.204, 0.485, 0.658, 0.386]",-0.847,0.514,0.697
U061,P040,purchase,0.866,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.616, 0.749, 0.878, 0.79, 0.671]",-0.095,0.387,0.921
U107,P035,view,0.203,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.836, 0.236, 0.767, 0.448, 0.183]",0.417,0.795,0.551
U143,P049,add_to_cart,0.406,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.888, 0.726, 0.689, 0.365, 0.806]",-0.534,0.307,0.297
U080,P100,purchase,0.932,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.234, 0.968, 0.059, 0.902, 0.255]",-0.359,0.041,0.85
U198,P099,view,0.354,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.639, 0.99, 0.354, 0.081, 0.275]",0.861,0.82,0.85
U054,P025,add_to_cart,0.476,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.777, 0.045, 0.183, 0.8, 0.508]",-0.378,-0.098,0.285
U095,P047,view,0.204,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.573, 0.759, 0.849, 0.746, 0.548]",0.849,-0.498,0.316
U077,P047,purchase,0.809,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.227, 0.065, 0.463, 0.704, 0.91]",-0.834,-0.287,0.438
U100,P053,add_to_cart,0.572,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.041, 0.584, 0.466, 0.47, 0.202]",-0.58,-0.692,0.165
U046,P092,view,0.166,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.98, 0.147, 0.295, 0.58, 0.128]",0.084,0.207,0.299
U022,P093,purchase,0.747,Electronics,Latest high-performance electronic device with smart features.,This product is excellent and exceeded expectations.,"[0.818, 0.139, 0.88, 0.189, 0.701]",-0.776,-0.331,0.458
U045,P049,view,0.186,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.831, 0.321, 0.699, 0.508, 0.952]",0.003,-0.6,0.006
U001,P037,view,0.32,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.647, 0.717, 0.987, 0.315, 0.06]",-0.584,0.736,0.351
U115,P024,view,0.276,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.498, 0.868, 0.495, 0.999, 0.065]",0.122,0.532,0.511
U111,P031,view,0.177,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.953, 0.778, 0.782, 0.292, 0.349]",0.645,-0.028,0.318
U042,P086,add_to_cart,0.523,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.025, 0.629, 0.423, 0.281, 0.836]",0.027,0.799,0.778
U195,P048,view,0.309,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.356, 0.173, 0.344, 0.051, 0.224]",-0.721,-0.705,-0.154
U065,P030,review,0.401,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.694, 0.2, 0.433, 0.451, 0.326]",0.427,-0.604,0.378
U125,P081,purchase,0.701,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.95, 0.48, 0.061, 0.211, 0.163]",0.34,0.905,1.042
U141,P029,purchase,0.908,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.832, 0.195, 0.729, 0.526, 0.488]",0.608,0.289,1.203
U086,P069,view,0.332,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.46, 0.14, 0.333, 0.746, 0.488]",-0.113,0.592,0.511
U197,P049,view,0.218,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.716, 0.217, 0.85, 0.527, 0.191]",-0.142,0.075,0.179
U187,P079,review,0.77,Beauty,Premium beauty product enhancing personal care.,This product is excellent and exceeded expectations.,"[0.24, 0.964, 0.398, 0.791, 0.146]",0.853,0.352,1.094
U112,P050,review,0.485,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.594, 0.948, 0.618, 0.83, 0.691]",0.764,-0.029,0.728
U109,P026,review,0.427,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.864, 0.263, 0.53, 0.662, 0.456]",0.076,-0.765,0.214
U016,P013,view,0.334,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.61, 0.871, 0.373, 0.451, 0.1]",-0.765,0.212,0.214
U101,P016,add_to_cart,0.589,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.103, 0.075, 0.97, 0.881, 0.511]",0.825,0.254,0.958
U061,P070,add_to_cart,0.449,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.686, 0.624, 0.349, 0.076, 0.113]",0.249,-0.415,0.405
U090,P078,view,0.364,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.997, 0.295, 0.155, 0.052, 0.712]",0.418,-0.538,0.339
U008,P085,add_to_cart,0.512,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.016, 0.861, 0.527, 0.549, 0.702]",0.114,0.775,0.783
U135,P052,purchase,0.716,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.153, 0.315, 0.747, 0.993, 0.131]",0.398,-0.135,0.768
U169,P089,purchase,0.967,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.516, 0.739, 0.065, 0.092, 0.342]",-0.584,0.512,0.915
U008,P074,review,0.459,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.0, 0.332, 0.886, 0.565, 0.248]",-0.078,0.362,0.536
U058,P059,view,0.144,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.986, 0.917, 0.837, 0.616, 0.571]",0.61,-0.266,0.273
U121,P052,review,0.303,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.091, 0.756, 0.898, 0.197, 0.973]",0.453,0.768,0.683
U096,P036,purchase,0.739,Beauty,Premium beauty product enhancing personal care.,This product is excellent and exceeded expectations.,"[0.392, 0.803, 0.882, 0.756, 0.531]",-0.584,0.263,0.595
U132,P098,view,0.228,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.106, 0.021, 0.647, 0.769, 0.146]",0.955,-0.786,0.264
U094,P098,add_to_cart,0.648,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.608, 0.018, 0.228, 0.428, 0.214]",0.073,-0.966,0.336
U159,P099,add_to_cart,0.522,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.251, 0.107, 0.083, 0.817, 0.663]",-0.372,-0.644,0.179
U022,P097,add_to_cart,0.511,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.008, 0.832, 0.958, 0.802, 0.573]",-0.713,-0.309,0.184
U076,P017,view,0.172,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.726, 0.682, 0.763, 0.059, 0.867]",-0.714,0.638,0.152
U010,P073,review,0.411,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.941, 0.457, 0.987, 0.6, 0.328]",-0.835,0.548,0.282
U182,P071,review,0.378,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.54, 0.456, 0.518, 0.533, 0.732]",-0.67,0.498,0.331
U010,P054,add_to_cart,0.457,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.375, 0.686, 0.525, 0.035, 0.514]",0.81,-0.491,0.57
U060,P078,add_to_cart,0.679,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.488, 0.16, 0.586, 0.526, 0.592]",-0.857,-0.457,0.239
U192,P037,review,0.663,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.432, 0.096, 0.206, 0.091, 0.619]",0.868,0.077,0.91
U197,P099,review,0.505,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.444, 0.882, 0.549, 0.056, 0.836]",-0.974,-0.812,-0.0
U186,P019,view,0.344,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.43, 0.932, 0.663, 0.396, 0.898]",-0.394,-0.706,0.017
U083,P044,add_to_cart,0.566,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.697, 0.962, 0.396, 0.779, 0.984]",0.531,-0.692,0.479
U056,P006,review,0.535,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.575, 0.697, 0.408, 0.056, 0.988]",0.052,0.88,0.83
U118,P042,view,0.348,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.425, 0.342, 0.291, 0.525, 0.081]",-0.716,-0.604,-0.094
U051,P033,add_to_cart,0.58,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.764, 0.004, 0.54, 0.082, 0.231]",0.119,0.315,0.749
U011,P001,add_to_cart,0.551,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.409, 0.864, 0.071, 0.191, 0.841]",0.902,-0.936,0.531
U005,P054,purchase,0.888,Electronics,Latest high-performance electronic device with smart features.,This product is excellent and exceeded expectations.,"[0.933, 0.671, 0.245, 0.03, 0.479]",-0.371,-0.077,0.739
U174,P003,purchase,0.852,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.226, 0.885, 0.229, 0.168, 0.157]",0.65,0.928,1.28
U138,P044,review,0.392,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.101, 0.49, 0.147, 0.171, 0.798]",0.034,-0.96,0.08
U057,P045,purchase,0.862,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.079, 0.022, 0.635, 0.158, 0.449]",-0.324,0.255,0.833
U062,P021,review,0.37,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.124, 0.422, 0.787, 0.889, 0.835]",-0.407,-0.571,0.063
U181,P094,view,0.272,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.953, 0.347, 0.884, 0.447, 0.665]",-0.689,0.25,0.161
U077,P040,purchase,0.723,Electronics,Latest high-performance electronic device with smart features.,This product is excellent and exceeded expectations.,"[0.334, 0.298, 0.414, 0.927, 0.208]",0.429,0.729,1.082
U170,P086,view,0.314,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.412, 0.291, 0.555, 0.776, 0.183]",0.242,0.662,0.589
U097,P051,add_to_cart,0.433,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.441, 0.373, 0.312, 0.721, 0.52]",0.453,0.98,0.865
U040,P038,purchase,0.786,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.442, 0.496, 0.268, 0.091, 0.2]",0.255,-0.022,0.824
U038,P007,view,0.155,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.831, 0.63, 0.918, 0.814, 0.524]",-0.71,0.555,0.096
U180,P035,add_to_cart,0.695,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.69, 0.642, 0.944, 0.729, 0.028]",-0.494,0.531,0.656
U107,P019,review,0.562,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.841, 0.271, 0.124, 0.799, 0.756]",-0.895,0.069,0.31
U186,P021,review,0.341,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.774, 0.36, 0.278, 0.927, 0.195]",0.227,0.208,0.47
U004,P098,review,0.573,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.696, 0.461, 0.087, 0.018, 0.077]",-0.094,-0.659,0.343
U009,P016,view,0.19,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.665, 0.675, 0.121, 0.766, 0.635]",-0.086,0.818,0.429
U103,P005,add_to_cart,0.453,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.892, 0.39, 0.905, 0.996, 0.239]",-0.91,0.424,0.305
U192,P062,view,0.272,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.174, 0.048, 0.718, 0.859, 0.715]",0.936,0.768,0.769
U065,P038,view,0.335,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.505, 0.596, 0.553, 0.382, 0.672]",-0.311,-0.934,-0.049
U112,P063,review,0.696,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.287, 0.743, 0.372, 0.732, 0.646]",-0.036,0.0,0.699
U185,P052,purchase,0.894,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.175, 0.239, 0.256, 0.41, 0.394]",0.159,0.418,1.065
U156,P071,review,0.526,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.564, 0.887, 0.064, 0.627, 0.914]",0.426,-0.336,0.547
U093,P011,view,0.213,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.299, 0.764, 0.696, 0.558, 0.333]",-0.684,-0.709,-0.17
U012,P096,purchase,0.861,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.861, 0.015, 0.687, 0.424, 0.556]",0.635,0.303,1.181
